,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Lars Bildsten. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,100,pub.1045302940,10.1093/mnras/stt542,,,X-ray diagnostics of chemical composition of the accretion disc and donor star in ultra-compact X-ray binaries,Monthly Notices of the Royal Astronomical Society,,,6/21/13,2013,432,2,1264-1273,All OA; Gold,Article,"Koliopanos, Filippos; Gilfanov, Marat; Bildsten, Lars",,"Koliopanos, Filippos (Max Planck Institute for Astrophysics); Gilfanov, Marat (Max Planck Institute for Astrophysics; Space Research Institute); Bildsten, Lars (University of California, Santa Barbara)",8,3,,2.65,https://academic.oup.com/mnras/article-pdf/432/2/1264/18457648/stt542.pdf,https://app.dimensions.ai/details/publication/pub.1045302940,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
84,100,pub.1009191179,10.1093/mnras/sts719,,,The observational signatures of convectively excited gravity modes in main-sequence stars,Monthly Notices of the Royal Astronomical Society,,,4/11/13,2013,430,3,1736-1745,All OA; Gold,Article,"Shiode, Joshua H.; Quataert, Eliot; Cantiello, Matteo; Bildsten, Lars",,"Shiode, Joshua H. (University of California, Berkeley); Quataert, Eliot (University of California, Berkeley); Cantiello, Matteo (University of California, Santa Barbara); Bildsten, Lars (University of California, Santa Barbara)",40,11,,9.78,https://academic.oup.com/mnras/article-pdf/430/3/1736/4904252/sts719.pdf,https://app.dimensions.ai/details/publication/pub.1009191179,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
85,100,pub.1022573558,10.1088/2041-8205/767/2/l23,,,R CORONAE BOREALIS STARS IN M31 FROM THE PALOMAR TRANSIENT FACTORY,The Astrophysical Journal Letters,,,4/1/13,2013,767,2,l23,All OA; Gold,Article,"Tang, Sumin; Cao, Yi; Bildsten, Lars; Nugent, Peter; Bellm, Eric; Kulkarni, Shrinivas R.; Laher, Russ; Levitan, David; Masci, Frank; Ofek, Eran O.; Prince, Thomas A.; Sesar, Branimir; Surace, Jason",,"Tang, Sumin (University of California, Santa Barbara; California Institute of Technology); Cao, Yi (California Institute of Technology); Bildsten, Lars (University of California, Santa Barbara); Nugent, Peter (Lawrence Berkeley National Laboratory; University of California, Berkeley); Bellm, Eric (California Institute of Technology); Kulkarni, Shrinivas R. (California Institute of Technology); Laher, Russ (California Institute of Technology); Levitan, David (California Institute of Technology); Masci, Frank (Infrared Processing and Analysis Center); Ofek, Eran O. (Weizmann Institute of Science); Prince, Thomas A. (California Institute of Technology); Sesar, Branimir (California Institute of Technology); Surace, Jason (California Institute of Technology)",6,2,,1.47,http://iopscience.iop.org/article/10.1088/2041-8205/767/2/L23/pdf,https://app.dimensions.ai/details/publication/pub.1022573558,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
86,100,pub.1118491182,,,,R Coronae Borealis Stars in M31 from the Palomar Transient Factory,arXiv,,,3/7/13,2013,,,,"All OA; Green, Accepted & Submitted",Preprint,"Tang, Sumin; Cao, Yi; Bildsten, Lars; Nugent, Peter; Bellm, Eric; Kulkarni, Shrinivas R.; Laher, Russ; Levitan, David; Masci, Frank; Ofek, Eran O.; Prince, Thomas A.; Sesar, Branimir; Surace, Jason",,"Tang, Sumin (); Cao, Yi (); Bildsten, Lars (); Nugent, Peter (); Bellm, Eric (); Kulkarni, Shrinivas R. (); Laher, Russ (); Levitan, David (); Masci, Frank (); Ofek, Eran O. (); Prince, Thomas A. (); Sesar, Branimir (); Surace, Jason ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118491182,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
87,100,pub.1011198674,10.1088/2041-8205/765/2/l41,,,"ASTEROSEISMIC CLASSIFICATION OF STELLAR POPULATIONS AMONG 13,000 RED GIANTS OBSERVED BY KEPLER",The Astrophysical Journal Letters,,,2/26/13,2013,765,2,l41,All OA; Gold,Article,"Stello, Dennis; Huber, Daniel; Bedding, Timothy R.; Benomar, Othman; Bildsten, Lars; Elsworth, Yvonne P.; Gilliland, Ronald L.; Mosser, Benoît; Paxton, Bill; White, Timothy R.",,"Stello, Dennis (University of Sydney; Aarhus University); Huber, Daniel (Ames Research Center); Bedding, Timothy R. (University of Sydney; Aarhus University); Benomar, Othman (University of Sydney; Aarhus University); Bildsten, Lars (University of California, Santa Barbara); Elsworth, Yvonne P. (University of Birmingham); Gilliland, Ronald L. (Pennsylvania State University); Mosser, Benoît (Laboratory of Space Studies and Instrumentation in Astrophysics); Paxton, Bill (University of California, Santa Barbara); White, Timothy R. (University of Sydney; Aarhus University)",144,29,,35.21,http://iopscience.iop.org/article/10.1088/2041-8205/765/2/L41/pdf,https://app.dimensions.ai/details/publication/pub.1011198674,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
88,100,pub.1118506675,,,,An outburst from a massive star 40 days before a supernova explosion,arXiv,,,2/11/13,2013,,,,"All OA; Green, Accepted & Submitted",Preprint,"Ofek, E. O.; Sullivan, M.; Cenko, S. B.; Kasliwal, M. M.; Gal-Yam, A.; Kulkarni, S. R.; Arcavi, I.; Bildsten, L.; Bloom, J. S.; Horesh, A.; Howell, D. A.; Filippenko, A. V.; Laher, R.; Murray, D.; Nakar, E.; Nugent, P. E.; Silverman, J. M.; Shaviv, N. J.; Surace, J.; Yaron, O.",,"Ofek, E. O. (); Sullivan, M. (); Cenko, S. B. (); Kasliwal, M. M. (); Gal-Yam, A. (); Kulkarni, S. R. (); Arcavi, I. (); Bildsten, L. (); Bloom, J. S. (); Horesh, A. (); Howell, D. A. (); Filippenko, A. V. (); Laher, R. (); Murray, D. (); Nakar, E. (); Nugent, P. E. (); Silverman, J. M. (); Shaviv, N. J. (); Surace, J. (); Yaron, O. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118506675,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
89,100,pub.1118502189,,,,"X-ray diagnostics of chemical composition of the accretion disk and
  donor star in ultra-compact X-ray binaries",arXiv,,,2/8/13,2013,,,,"All OA; Green, Accepted & Submitted",Preprint,"Koliopanos, Filippos; Gilfanov, Marat; Bildsten, Lars",,"Koliopanos, Filippos (); Gilfanov, Marat (); Bildsten, Lars ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118502189,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
90,100,pub.1118489597,,,,"Asteroseismic classification of stellar populations among 13000 red
  giants observed by Kepler",arXiv,,,2/4/13,2013,,,,"All OA; Green, Accepted & Submitted",Preprint,"Stello, D.; Huber, D.; Bedding, T. R.; Benomar, O.; Bildsten, L.; Elsworth, Y. P.; Gilliland, R. L.; Mosser, B.; Paxton, B.; White, T. R.",,"Stello, D. (); Huber, D. (); Bedding, T. R. (); Benomar, O. (); Bildsten, L. (); Elsworth, Y. P. (); Gilliland, R. L. (); Mosser, B. (); Paxton, B. (); White, T. R. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118489597,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
91,400,pub.1020055720,10.1038/nature11877,23389540,,An outburst from a massive star 40 days before a supernova explosion,Nature,,,2013-02,2013,494,7435,65-67,"All OA; Green, Accepted & Submitted",Article,"Ofek, E. O.; Sullivan, M.; Cenko, S. B.; Kasliwal, M. M.; Gal-Yam, A.; Kulkarni, S. R.; Arcavi, I.; Bildsten, L.; Bloom, J. S.; Horesh, A.; Howell, D. A.; Filippenko, A. V.; Laher, R.; Murray, D.; Nakar, E.; Nugent, P. E.; Silverman, J. M.; Shaviv, N. J.; Surace, J.; Yaron, O.","Ofek, E. O.","Ofek, E. O. (Weizmann Institute of Science); Sullivan, M. (University of Southampton; University of Oxford); Cenko, S. B. (University of California, Berkeley); Kasliwal, M. M. (Carnegie Observatories); Gal-Yam, A. (Weizmann Institute of Science); Kulkarni, S. R. (California Institute of Technology); Arcavi, I. (Weizmann Institute of Science); Bildsten, L. (University of California, Santa Barbara); Bloom, J. S. (University of California, Berkeley; Lawrence Berkeley National Laboratory); Horesh, A. (California Institute of Technology); Howell, D. A. (University of California, Santa Barbara; Las Cumbres Observatory Global Telescope Network); Filippenko, A. V. (University of California, Berkeley); Laher, R. (California Institute of Technology); Murray, D. (University of Wisconsin–Milwaukee); Nakar, E. (Tel Aviv University); Nugent, P. E. (University of California, Berkeley; Lawrence Berkeley National Laboratory); Silverman, J. M. (University of California, Berkeley; The University of Texas at Austin); Shaviv, N. J. (Hebrew University of Jerusalem); Surace, J. (California Institute of Technology); Yaron, O. (Weizmann Institute of Science)",128,21,0.07,31.3,https://authors.library.caltech.edu/37378/13/1302.2633.pdf,https://app.dimensions.ai/details/publication/pub.1020055720,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
92,100,pub.1009756319,10.1088/0004-637x/763/1/42,,,X-RAY EMISSION FROM SUPERNOVAE IN DENSE CIRCUMSTELLAR MATTER ENVIRONMENTS: A SEARCH FOR COLLISIONLESS SHOCKS,The Astrophysical Journal,,,1/20/13,2013,763,1,42,All OA; Gold,Article,"Ofek, E. O.; Fox, D.; Cenko, S. B.; Sullivan, M.; Gnat, O.; Frail, D. A.; Horesh, A.; Corsi, A.; Quimby, R. M.; Gehrels, N.; Kulkarni, S. R.; Gal-Yam, A.; Nugent, P. E.; Yaron, O.; Filippenko, A. V.; Kasliwal, M. M.; Bildsten, L.; Bloom, J. S.; Poznanski, D.; Arcavi, I.; Laher, R. R.; Levitan, D.; Sesar, B.; Surace, J.",,"Ofek, E. O. (Weizmann Institute of Science); Fox, D. (Pennsylvania State University); Cenko, S. B. (University of California, Berkeley); Sullivan, M. (University of Oxford); Gnat, O. (Hebrew University of Jerusalem); Frail, D. A. (National Radio Astronomy Observatory); Horesh, A. (California Institute of Technology); Corsi, A. (California Institute of Technology); Quimby, R. M. (University of Tokyo); Gehrels, N. (Goddard Space Flight Center); Kulkarni, S. R. (California Institute of Technology); Gal-Yam, A. (Weizmann Institute of Science); Nugent, P. E. (Lawrence Berkeley National Laboratory); Yaron, O. (Weizmann Institute of Science); Filippenko, A. V. (University of California, Berkeley); Kasliwal, M. M. (Carnegie Observatories); Bildsten, L. (University of California, Santa Barbara); Bloom, J. S. (University of California, Berkeley); Poznanski, D. (Tel Aviv University); Arcavi, I. (Weizmann Institute of Science); Laher, R. R. (California Institute of Technology); Levitan, D. (California Institute of Technology); Sesar, B. (California Institute of Technology); Surace, J. (California Institute of Technology)",49,9,,16.22,http://iopscience.iop.org/article/10.1088/0004-637X/763/1/42/pdf,https://app.dimensions.ai/details/publication/pub.1009756319,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
93,100,pub.1118492239,,,,"Modules for Experiments in Stellar Astrophysics (MESA): Giant Planets,
  Oscillations, Rotation, and Massive Stars",arXiv,,,1/2/13,2013,,,,"All OA; Green, Accepted & Submitted",Preprint,"Paxton, Bill; Cantiello, Matteo; Arras, Phil; Bildsten, Lars; Brown, Edward F.; Dotter, Aaron; Mankovich, Christopher; Montgomery, M. H.; Stello, Dennis; Timmes, F. X.; Townsend, Richard",,"Paxton, Bill (); Cantiello, Matteo (); Arras, Phil (); Bildsten, Lars (); Brown, Edward F. (); Dotter, Aaron (); Mankovich, Christopher (); Montgomery, M. H. (); Stello, Dennis (); Timmes, F. X. (); Townsend, Richard ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118492239,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
94,100,pub.1025408287,10.1088/0004-637x/762/1/8,,,MESA MODELS OF CLASSICAL NOVA OUTBURSTS: THE MULTICYCLE EVOLUTION AND EFFECTS OF CONVECTIVE BOUNDARY MIXING,The Astrophysical Journal,,,1/1/13,2013,762,1,8,All OA; Gold,Article,"Denissenkov, Pavel A.; Herwig, Falk; Bildsten, Lars; Paxton, Bill",,"Denissenkov, Pavel A. (University of Victoria; TRIUMF; University of Notre Dame); Herwig, Falk (University of Victoria; University of Notre Dame; New Mexico Consortium); Bildsten, Lars (University of California, Santa Barbara); Paxton, Bill (University of California, Santa Barbara)",45,12,,11,http://iopscience.iop.org/article/10.1088/0004-637X/762/1/8/pdf,https://app.dimensions.ai/details/publication/pub.1025408287,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
95,100,pub.1032956912,10.1088/0004-637x/761/2/182,,,CIRCUMSTELLAR SHELL FORMATION IN SYMBIOTIC RECURRENT NOVAE,The Astrophysical Journal,,,12/20/12,2012,761,2,182,"All OA; Green, Accepted & Submitted",Article,"Moore, Kevin; Bildsten, Lars",,"Moore, Kevin (University of California, Santa Barbara); Bildsten, Lars (University of California, Santa Barbara)",19,2,,3.92,http://arxiv.org/pdf/1210.7546.pdf,https://app.dimensions.ai/details/publication/pub.1032956912,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
96,100,pub.1118489732,,,,"The Observational Signatures of Convectively Excited Internal Gravity
  Modes in Main Sequence Stars",arXiv,,,10/19/12,2012,,,,"All OA; Green, Accepted & Submitted",Preprint,"Shiode, Joshua H.; Quataert, Eliot; Cantiello, Matteo; Bildsten, Lars",,"Shiode, Joshua H. (); Quataert, Eliot (); Cantiello, Matteo (); Bildsten, Lars ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118489732,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
97,100,pub.1118487178,,,,"MESA Models of Classical Nova Outbursts: The Multicycle Evolution and
  Effects of Convective Boundary Mixing",arXiv,,,10/18/12,2012,,,,"All OA; Green, Accepted & Submitted",Preprint,"Denissenkov, Pavel A.; Herwig, Falk; Bildsten, Lars; Paxton, Bill",,"Denissenkov, Pavel A. (University of Victoria); Herwig, Falk (University of Victoria); Bildsten, Lars (University of California, Santa Barbara); Paxton, Bill (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118487178,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
98,100,pub.1037172611,10.1088/0004-637x/758/1/64,,,ORBITAL EVOLUTION OF COMPACT WHITE DWARF BINARIES,The Astrophysical Journal,,,10/10/12,2012,758,1,64,All OA; Gold,Article,"Kaplan, David L.; Bildsten, Lars; Steinfadt, Justin D. R.",,"Kaplan, David L. (University of Wisconsin–Milwaukee); Bildsten, Lars (University of California, Santa Barbara); Steinfadt, Justin D. R. (University of California, Santa Barbara)",24,5,,3.25,http://iopscience.iop.org/article/10.1088/0004-637X/758/1/64/pdf,https://app.dimensions.ai/details/publication/pub.1037172611,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
99,100,pub.1118524416,,,,Orbital Evolution of Compact White Dwarf Binaries,arXiv,,,8/30/12,2012,,,,"All OA; Green, Accepted & Submitted",Preprint,"Kaplan, David L.; Bildsten, Lars; Steinfadt, Justin D. R.",,"Kaplan, David L. (); Bildsten, Lars (); Steinfadt, Justin D. R. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118524416,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
100,400,pub.1062466018,10.1126/science.1219164,22923575,,PTF 11kx: A Type Ia Supernova with a Symbiotic Nova Progenitor,Science,,,8/24/12,2012,337,6097,942-945,"All OA; Green, Accepted & Submitted",Article,"Dilday, B.; Howell, D. A.; Cenko, S. B.; Silverman, J. M.; Nugent, P. E.; Sullivan, M.; Ben-Ami, S.; Bildsten, L.; Bolte, M.; Endl, M.; Filippenko, A. V.; Gnat, O.; Horesh, A.; Hsiao, E.; Kasliwal, M. M.; Kirkman, D.; Maguire, K.; Marcy, G. W.; Moore, K.; Pan, Y.; Parrent, J. T.; Podsiadlowski, P.; Quimby, R. M.; Sternberg, A.; Suzuki, N.; Tytler, D. R.; Xu, D.; Bloom, J. S.; Gal-Yam, A.; Hook, I. M.; Kulkarni, S. R.; Law, N. M.; Ofek, E. O.; Polishook, D.; Poznanski, D.",,"Dilday, B. (Las Cumbres Observatory Global Telescope Network; University of California, Santa Barbara); Howell, D. A. (Las Cumbres Observatory Global Telescope Network; University of California, Santa Barbara); Cenko, S. B. (University of California, Berkeley); Silverman, J. M. (University of California, Berkeley); Nugent, P. E. (University of California, Berkeley; Lawrence Berkeley National Laboratory); Sullivan, M. (University of Oxford); Ben-Ami, S. (Weizmann Institute of Science); Bildsten, L. (University of California, Santa Barbara); Bolte, M. (University of California, Santa Cruz); Endl, M. (The University of Texas at Austin); Filippenko, A. V. (University of California, Berkeley); Gnat, O. (Hebrew University of Jerusalem); Horesh, A. (California Institute of Technology); Hsiao, E. (Lawrence Berkeley National Laboratory; Las Campanas Observatory); Kasliwal, M. M. (California Institute of Technology; Carnegie Observatories); Kirkman, D. (University of California, San Diego); Maguire, K. (University of Oxford); Marcy, G. W. (University of California, Berkeley); Moore, K. (University of California, Santa Barbara); Pan, Y. (University of Oxford); Parrent, J. T. (Las Cumbres Observatory Global Telescope Network; Dartmouth College); Podsiadlowski, P. (University of Oxford); Quimby, R. M. (University of Tokyo); Sternberg, A. (Max Planck Institute for Astrophysics); Suzuki, N. (Lawrence Berkeley National Laboratory); Tytler, D. R. (University of California, San Diego); Xu, D. (Weizmann Institute of Science); Bloom, J. S. (University of California, Berkeley); Gal-Yam, A. (Weizmann Institute of Science); Hook, I. M. (University of Oxford); Kulkarni, S. R. (California Institute of Technology); Law, N. M. (University of Toronto); Ofek, E. O. (Weizmann Institute of Science); Polishook, D. (Massachusetts Institute of Technology); Poznanski, D. (Tel Aviv University)",218,49,0.11,45.82,https://authors.library.caltech.edu/34066/2/Dilday.SM.pdf,https://app.dimensions.ai/details/publication/pub.1062466018,0205 Optical Physics; 02 Physical Sciences,0205 Optical Physics,02 Physical Sciences,,,
