,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Cyrus R Safinya. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,400,pub.1055848100,10.1021/ja1059763,21028803,PMC2991473,Highly efficient gene silencing activity of siRNA embedded in a nanostructured gyroid cubic lipid matrix.,Journal of the American Chemical Society,,"Animals; Cell Line; Cell Survival; Liposomes; Mice; Microscopy; Models, Molecular; Molecular Conformation; Nanostructures; RNA Interference; RNA, Small Interfering; Scattering, Small Angle; X-Ray Diffraction",2010-12,2010,132,47,16841-7,"All OA; Green, Accepted & Submitted",Article,"Leal, Cecília; Bouxsein, Nathan F; Ewert, Kai K; Safinya, Cyrus R",,"Leal, Cecília (University of California, Santa Barbara); Bouxsein, Nathan F (); Ewert, Kai K (); Safinya, Cyrus R ()",103,15,3.44,,http://europepmc.org/articles/pmc2991473?pdf=render,https://app.dimensions.ai/details/publication/pub.1055848100,03 Chemical Sciences,03 Chemical Sciences,,,,
85,200,pub.1062461492,10.1126/science.1185868,20110489,,Bundling with X-rays,Science,,,1/29/10,2010,327,5965,529-530,Closed,Article,"Safinya, Cyrus R.; Li, Youli",,"Safinya, Cyrus R. (University of California, Santa Barbara); Li, Youli (University of California, Santa Barbara)",6,0,0.13,,,https://app.dimensions.ai/details/publication/pub.1062461492,,,,,,
86,400,pub.1042590017,10.1038/nmat2566,19915555,,Gel-expanded to gel-condensed transition in neurofilament networks revealed by direct force measurements,Nature Materials,,"Amyotrophic Lateral Sclerosis; Biophysics; Cytoskeleton; Elasticity; Gels; Humans; Hydrogen-Ion Concentration; Materials Testing; Multiprotein Complexes; Neurofilament Proteins; Osmotic Pressure; Static Electricity; Stress, Mechanical; Synchrotrons; X-Ray Diffraction",2010-01,2010,9,1,40-46,Closed,Article,"Beck, Roy; Deek, Joanna; Jones, Jayna B.; Safinya, Cyrus R.","Beck, Roy","Beck, Roy (University of California, Santa Barbara); Deek, Joanna (University of California, Santa Barbara); Jones, Jayna B. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",53,7,1.8,6.78,,https://app.dimensions.ai/details/publication/pub.1042590017,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
87,200,pub.1047931901,10.1016/j.bpj.2009.12.1957,,,The Effect of Human Microtubule-Associated-Protein Tau and Ionic Strength on the Assembly Structure of Microtubules: Synchrotron X-Ray Scattering and Binding Assay Study,Biophysical Journal,,,2010-01,2010,98,3,363a,All OA; Gold,Article,"Choi, M.C.; Raviv, U.; Miller, H.P.; Gaylord, M.R.; Kiris, E.; Ventimiglia, D.; Needleman, D.J.; Chung, P.J.; Deek, J.; LaPointe, N.; Kim, M.W.; Wilson, L.; Feinstein, S.C.; Safinya, C.R.",,"Choi, M.C. (University of California, Santa Barbara); Raviv, U. (University of California, Santa Barbara); Miller, H.P. (University of California, Santa Barbara); Gaylord, M.R. (University of California, Santa Barbara); Kiris, E. (University of California, Santa Barbara); Ventimiglia, D. (University of California, Santa Barbara); Needleman, D.J. (University of California, Santa Barbara); Chung, P.J. (University of California, Santa Barbara); Deek, J. (University of California, Santa Barbara); LaPointe, N. (University of California, Santa Barbara); Kim, M.W. (Korea Advanced Institute of Science and Technology); Wilson, L. (University of California, Santa Barbara); Feinstein, S.C. (University of California, Santa Barbara); Safinya, C.R. (University of California, Santa Barbara)",0,0,,,https://doi.org/10.1016/j.bpj.2009.12.1957,https://app.dimensions.ai/details/publication/pub.1047931901,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
88,200,pub.1037859094,10.1016/j.bpj.2009.12.056,,,Structures and Interactions in Neurofilament: Gel Expanded To Gel Condensed Transition,Biophysical Journal,,,2010-01,2010,98,3,9a,All OA; Gold,Article,"Beck, Roy; Deek, Joanna; Jones, Jayna B.; Choi, M.C.; Ikawa, Taiji; Watanabe, Osamu; Safinya, Cyrus R.",,"Beck, Roy (University of California, Santa Barbara); Deek, Joanna (University of California, Santa Barbara); Jones, Jayna B. (University of California, Santa Barbara); Choi, M.C. (University of California, Santa Barbara); Ikawa, Taiji (); Watanabe, Osamu (); Safinya, Cyrus R. (University of California, Santa Barbara)",1,0,,,https://doi.org/10.1016/j.bpj.2009.12.056,https://app.dimensions.ai/details/publication/pub.1037859094,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
89,200,pub.1033701131,10.1016/j.bpj.2009.12.3606,,,A Reversible Switch on Two-Dimensional Small Interfering RNA Condensation,Biophysical Journal,,,2010-01,2010,98,3,657a,All OA; Gold,Article,"Leal, Cecilia; Bouxsein, Nathan F.; Ewert, Kai K.; Safinya, Cyrus R.",,"Leal, Cecilia (University of California, Santa Barbara); Bouxsein, Nathan F. (University of California, Santa Barbara); Ewert, Kai K. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",0,0,,,https://doi.org/10.1016/j.bpj.2009.12.3606,https://app.dimensions.ai/details/publication/pub.1033701131,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
90,200,pub.1015647252,10.1016/j.bpj.2009.12.3607,,,New Degradable Cationic Lipid-DNA Complexes for Gene Delivery,Biophysical Journal,,,2010-01,2010,98,3,657a,All OA; Gold,Article,"Shirazi, Rahau; Ewert, Kai K.; Leal, Cecilia; Bouxsein, Nathan F.; Safinya, Cyrus R.",,"Shirazi, Rahau (University of California, Santa Barbara); Ewert, Kai K. (University of California, Santa Barbara); Leal, Cecilia (University of California, Santa Barbara); Bouxsein, Nathan F. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",0,0,,,https://doi.org/10.1016/j.bpj.2009.12.3607,https://app.dimensions.ai/details/publication/pub.1015647252,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
91,200,pub.1015102298,10.1016/j.bpj.2009.12.2363,,,Cationic Lipid Vectors for Gene Delivery: Distinct Pathways of Endosomal Release,Biophysical Journal,,,2010-01,2010,98,3,435a-436a,All OA; Gold,Article,"Ewert, Kai K.; Zidovska, Alexandra; Bouxsein, Nathan; Shirazi, Rahau S.; Evans, Heather; Safinya, Cyrus R.",,"Ewert, Kai K. (University of California, Santa Barbara); Zidovska, Alexandra (University of California, Santa Barbara); Bouxsein, Nathan (University of California, Santa Barbara); Shirazi, Rahau S. (University of California, Santa Barbara); Evans, Heather (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",0,0,,,https://doi.org/10.1016/j.bpj.2009.12.2363,https://app.dimensions.ai/details/publication/pub.1015102298,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
92,200,pub.1006336074,10.1016/j.bpj.2009.12.3022,,,Tuning of Neurofilament Hydrogel Network Features - a Synchrotron X-Ray Scattering Study of Salt Dependent Network Response,Biophysical Journal,,,2010-01,2010,98,3,558a,All OA; Gold,Article,"Deek, Joanna; Beck, Roy; Jones, Jayna B.; Safinya, Cyrus R.",,"Deek, Joanna (University of California, Santa Barbara); Beck, Roy (University of California, Santa Barbara); Jones, Jayna B. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",0,0,,,https://doi.org/10.1016/j.bpj.2009.12.3022,https://app.dimensions.ai/details/publication/pub.1006336074,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
93,400,pub.1023101127,10.1007/128_2010_70,21504103,PMC3867951,Cationic Liposome–Nucleic Acid Complexes for Gene Delivery and Silencing: Pathways and Mechanisms for Plasmid DNA and siRNA,Topics in Current Chemistry,Nucleic Acid Transfection,"Cations; Gene Silencing; Liposomes; Nucleic Acids; Plasmids; RNA, Small Interfering; Transfection",2010,2010,296,,191-226,Closed,Chapter,"Ewert, Kai K.; Zidovska, Alexandra; Ahmad, Ayesha; Bouxsein, Nathan F.; Evans, Heather M.; McAllister, Christopher S.; Samuel, Charles E.; Safinya, Cyrus R.","Safinya, Cyrus R.","Ewert, Kai K. (University of California, Santa Barbara); Zidovska, Alexandra (University of California, Santa Barbara; Harvard University); Ahmad, Ayesha (University of California, Santa Barbara; Dynavax Technologies (United States)); Bouxsein, Nathan F. (University of California, Santa Barbara); Evans, Heather M. (University of California, Santa Barbara); McAllister, Christopher S. (University of California, Santa Barbara; University of California, San Diego); Samuel, Charles E. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",88,13,2.74,16.5,,https://app.dimensions.ai/details/publication/pub.1023101127,10 Technology; 1004 Medical Biotechnology,10 Technology,1004 Medical Biotechnology,,,
94,400,pub.1010246782,10.1016/j.bbamem.2009.06.013,19559003,PMC2740798,The effect of salt and pH on block liposomes studied by cryogenic transmission electron microscopy,Biochimica et Biophysica Acta (BBA) - Lipids and Lipid Metabolism,,"Dendrimers; Hydrogen-Ion Concentration; Lipid Bilayers; Liposomes; Microscopy, Electron, Transmission; Nanostructures; Phosphatidylcholines; Scattering, Radiation; Sodium Chloride; X-Ray Diffraction",2009-09,2009,1788,9,1869-1876,All OA; Gold,Article,"Zidovska, Alexandra; Ewert, Kai K.; Quispe, Joel; Carragher, Bridget; Potter, Clinton S.; Safinya, Cyrus R.","Safinya, Cyrus R.","Zidovska, Alexandra (University of California, Santa Barbara); Ewert, Kai K. (University of California, Santa Barbara); Quispe, Joel (Scripps Research Institute); Carragher, Bridget (Scripps Research Institute); Potter, Clinton S. (Scripps Research Institute); Safinya, Cyrus R. (University of California, Santa Barbara)",9,0,0.24,2.53,https://doi.org/10.1016/j.bbamem.2009.06.013,https://app.dimensions.ai/details/publication/pub.1010246782,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
95,400,pub.1055861286,10.1021/ja902944t,19462995,,The temperature-dependent structure of alkylamines and their corresponding alkylammonium-alkylcarbamates.,Journal of the American Chemical Society,,Absorption; Alkylation; Amines; Carbamates; Carbon Dioxide; Molecular Structure; Powder Diffraction; Quaternary Ammonium Compounds; Structure-Activity Relationship; Surface-Active Agents; Temperature; Transition Temperature; X-Ray Diffraction,2009-07,2009,131,25,9107-13,Closed,Article,"Belman, Nataly; Israelachvili, Jacob N; Li, Youli; Safinya, Cyrus R; Bernstein, Joel; Golan, Yuval",,"Belman, Nataly (Ben-Gurion University of the Negev); Israelachvili, Jacob N (); Li, Youli (); Safinya, Cyrus R (); Bernstein, Joel (); Golan, Yuval ()",17,2,0.57,1.9,,https://app.dimensions.ai/details/publication/pub.1055861286,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
96,400,pub.1035743278,10.1016/j.bpj.2009.04.047,19619466,PMC2711315,Human Microtubule-Associated-Protein Tau Regulates the Number of Protofilaments in Microtubules: A Synchrotron X-Ray Scattering Study,Biophysical Journal,,"Animals; Cattle; Cell Line; Elasticity; Humans; Microtubules; Models, Molecular; Potassium Chloride; Protein Binding; Protein Isoforms; Scattering, Small Angle; Static Electricity; Synchrotrons; X-Ray Diffraction; tau Proteins",2009-07,2009,97,2,519-527,All OA; Gold,Article,"Choi, M.C.; Raviv, U.; Miller, H.P.; Gaylord, M.R.; Kiris, E.; Ventimiglia, D.; Needleman, D.J.; Kim, M.W.; Wilson, L.; Feinstein, S.C.; Safinya, C.R.","Choi, M.C.","Choi, M.C. (University of California, Santa Barbara; Korea Advanced Institute of Science and Technology); Raviv, U. (University of California, Santa Barbara); Miller, H.P. (University of California, Santa Barbara); Gaylord, M.R. (University of California, Santa Barbara); Kiris, E. (University of California, Santa Barbara); Ventimiglia, D. (University of California, Santa Barbara); Needleman, D.J. (University of California, Santa Barbara); Kim, M.W. (Korea Advanced Institute of Science and Technology); Wilson, L. (University of California, Santa Barbara); Feinstein, S.C. (University of California, Santa Barbara); Safinya, C.R. (University of California, Santa Barbara)",56,13,1.31,4.52,https://doi.org/10.1016/j.bpj.2009.04.047,https://app.dimensions.ai/details/publication/pub.1035743278,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
97,400,pub.1056221867,10.1021/nl900534m,19374385,,Reaction of alkylamine surfactants with carbon dioxide: relevance to nanocrystal synthesis.,Nano Letters,,,5/13/09,2009,9,5,2088-93,Closed,Article,"Belman, Nataly; Israelachvili, Jacob N; Li, Youli; Safinya, Cyrus R; Bernstein, Joel; Golan, Yuval",,"Belman, Nataly (Ben-Gurion University of the Negev); Israelachvili, Jacob N (); Li, Youli (); Safinya, Cyrus R (); Bernstein, Joel (); Golan, Yuval ()",17,2,0.46,1.9,,https://app.dimensions.ai/details/publication/pub.1056221867,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
98,400,pub.1056111616,10.1021/jp809000e,19354307,PMC2701310,The role of cholesterol and structurally related molecules in enhancing transfection of cationic liposome-DNA complexes.,The Journal of Physical Chemistry B,,"Cations; Cholesterol; DNA; Fatty Acids, Monounsaturated; Molecular Structure; Phosphatidylcholines; Quaternary Ammonium Compounds; Scattering, Small Angle; Transfection; X-Ray Diffraction",4/16/09,2009,113,15,5208-16,"All OA; Green, Accepted & Submitted",Article,"Zidovska, Alexandra; Evans, Heather M; Ahmad, Ayesha; Ewert, Kai K; Safinya, Cyrus R",,"Zidovska, Alexandra (University of California, Santa Barbara); Evans, Heather M (); Ahmad, Ayesha (); Ewert, Kai K (); Safinya, Cyrus R ()",27,1,0.81,,http://europepmc.org/articles/pmc2701310?pdf=render,https://app.dimensions.ai/details/publication/pub.1056111616,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
99,400,pub.1056110407,10.1021/jp806863z,19673065,PMC2858692,"Liquid crystalline phases of dendritic lipid-DNA self-assemblies: lamellar, hexagonal, and DNA bundles.",The Journal of Physical Chemistry B,,"DNA; Dendrimers; Liquid Crystals; Models, Molecular; Molecular Structure; Particle Size; Phosphatidylcholines; Surface Properties",3/26/09,2009,113,12,3694-703,Closed,Article,"Zidovska, Alexandra; Evans, Heather M; Ewert, Kai K; Quispe, Joel; Carragher, Bridget; Potter, Clinton S; Safinya, Cyrus R",,"Zidovska, Alexandra (University of California, Santa Barbara); Evans, Heather M (); Ewert, Kai K (); Quispe, Joel (); Carragher, Bridget (); Potter, Clinton S (); Safinya, Cyrus R ()",42,4,1.29,4.68,,https://app.dimensions.ai/details/publication/pub.1056110407,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
100,400,pub.1056163387,10.1021/la8022375,18834165,PMC2647992,"Block liposomes from curvature-stabilizing lipids: connected nanotubes, -rods, or -spheres.",Langmuir,,"Cryoelectron Microscopy; Lipid Bilayers; Lipids; Liposomes; Micelles; Microscopy, Electron, Transmission; Nanospheres; Nanotechnology; Nanotubes; Nucleic Acids; Phosphatidylcholines; Static Electricity; Surface Properties; Temperature",3/3/09,2009,25,5,2979-85,"All OA; Green, Accepted & Submitted",Article,"Zidovska, Alexandra; Ewert, Kai K; Quispe, Joel; Carragher, Bridget; Potter, Clinton S; Safinya, Cyrus R",,"Zidovska, Alexandra (University of California, Santa Barbara); Ewert, Kai K (); Quispe, Joel (); Carragher, Bridget (); Potter, Clinton S (); Safinya, Cyrus R ()",23,1,0.52,2.23,http://europepmc.org/articles/pmc2647992?pdf=render,https://app.dimensions.ai/details/publication/pub.1056163387,03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,,,
101,200,pub.1042793299,10.1016/j.bpj.2008.12.2314,,,Effect of Nucleic Acid Length and Chemistry on Structure-Function Properties of Cationic Lipid-Nucleic Acid Complexes,Biophysical Journal,,,2009-02,2009,96,3,450a,All OA; Gold,Article,"Bouxsein, Nathan F.; McAllister, Christopher S.; Leal, Cecilia; Ewert, Kai K.; Samuel, Charles E.; Safinya, Cyrus R.",,"Bouxsein, Nathan F. (University of California, Santa Barbara); McAllister, Christopher S. (University of California, Santa Barbara); Leal, Cecilia (University of California, Santa Barbara); Ewert, Kai K. (University of California, Santa Barbara); Samuel, Charles E. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",0,0,,,https://doi.org/10.1016/j.bpj.2008.12.2314,https://app.dimensions.ai/details/publication/pub.1042793299,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
